id,categoryId,name,nameAr,price,img,desc,descAr,note,noteAr,sizes,sizesAr,extras,extrasAr
1,dessert,גבינה אפויה,جبن مخبوز,32,גבינה מרינג.jpeg,עוגת גבינה קלאסית אורירית וקלה,كيكة جبن كلاسيكية خفيفة وهشة,,,,,,
2,dessert,גבינה ותות,جبن وفراولة,34,גבינה תות.jpeg,עוגת גבינה על מצע עוגיות חמאה בציפוי קונפיטורת תות,كيكة جبن على قاعدة بسكويت زبدة بتوپينغ مربى الفراولة,,,,,,
3,dessert,גבינה אוראו,جبن أوريو,34,גבינה אוראו.jpeg,"מצע של בצק פריך, גבינה אפויה קרם וניל עם עוגיות אוראו. בציפוי שנטילי וניל ואוראו","قاعدة عجين هش، جبن مخبوز بكريمة فانيليا مع بسكويت أوريو، مغطى بشانتيلي فانيليا وأوريو",,,,,,
4,dessert,גבינת פירורים,جبن بالفتات,32,cheese and crumbs.webp,גבינה קטיפתית עשירה ומעל פרורי בצק פריך חמאתי,جبن كريمي غني ومقرمش بالعجين الزبداني,אפשרות ללא תוספת סוכר,متوفر بدون سكر مضاف,,,,
5,dessert,טירמיסו,تيراميسو,33,טירמיסו.jpeg,"שכבות של בישקוטים ספוגים באספרסו, קרם גבינת מסקרפונה וקפה, בעיטור קקאו","طبقات من البسكويت المنقوع بالإسبريسو، كريمة ماسكاربوني وقهوة، مزينة بالكاكاو",,,,,,
6,dessert,שוקולטה,شوكولطة,37,chocolata.webp,"מפגש פסגה של עוגת שוקולד מריר עם שוקולד פרלין ומעל תלתלים של שוקולד בלגי לבן","كيكة شوكولاتة داكنة مع برالين الشوكولاتة وتجعيدات الشوكولاتة البلجيكية البيضاء",עוגה חמה,كيكة ساخنة,,,,
7,dessert,שוקולד חמאת בוטנים,شوكولاتة زبدة الفول السوداني,34,1.png,"מוס שוקולד חמאת בוטנים, בעיטור קראנץ שוקולד בלגי ומקרון אדום",موس شوكولاتة زبدة الفول السوداني بتزيين كرانش الشوكولاتة البلجيكية وماكرون أحمر,,,,,,
8,dessert,שוקולד בלגי ללא סוכר,شوكولاتة بلجيكية بدون سكر,33,no sugar.png,קרם שוקולד בלגי איכותי ללא סוכר בציפוי גנאש שוקולד מריר על מצע של בצק פריך שוקולד,كريمة شوكولاتة بلجيكية فاخرة بدون سكر مغطاة بغاناش الشوكولاتة الداكنة على قاعدة عجين شوكولاتة هش,,,,,,
9,dessert,תפוחים פאי,فطيرة التفاح,35,קראמבל-תפוחים-1.jpg,פאי תפוחים בשילוב קינמון במעטפת פירורי בצק שטרוייזל,فطيرة تفاح بالقرفة في غلاف عجين الستروسل,מוגש חם • אפשרות ללא סוכר,يقدم ساخناً • متوفر بدون سكر,,,,
10,dessert,פאי אגוזים,فطيرة المكسرات,35,אגוזים temp.jpeg,"אגוזי מלך לוז ופקאן מקורמלים בטופי, אפויים בתוך פאי של בצק פריך","جوز وبندق وبيكان مكرمل بالتوفي، مخبوز داخل فطيرة عجين هش",מוגש חם,يقدم ساخناً,,,,
11,dessert,קינדר,كيندر,32,kinder.webp,מוס קינדר על שכבת קראנצ׳ שוקולדים ובראוניס בציפוי גנאש שוקולד חלב עשיר,موس كيندر على طبقة كرانش شوكولاتة وبراونيز بغاناش شوكولاتة حليب غني,,,,,,
12,dessert,טריקולד,تريكولود,33,trekolad.webp,"שלוש שכבות של שוקולד בלגי משובח: מריר, חלב ולבן","ثلاث طبقات من الشوكولاتة البلجيكية الفاخرة: داكنة وحليب وبيضاء",,,,,,
